data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
06/01/2017 00:00;02:30:00.0000000;33;MASCULINO;CONDUTOR;AV PROTASIO ALVES;COLISAO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;MADRUGADA;26 A 35;MOTOCICLETA
06/01/2017 00:00;22:00:00.0000000;3;FEMININO;PEDESTRE;AV SANTO DIAS DA SILVA;ATROPELAMENTO;1;0;0;0;0;0;0;0;0;0;0;SEXTA-FEIRA;NOITE;0 A 10;NENHUM
06/01/2017 00:00;20:00:00.0000000;27;MASCULINO;CONDUTOR;R DOLORES DURAN;CHOQUE;0;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;NOITE;26 A 35;MOTOCICLETA
06/01/2017 00:00;17:40:00.0000000;47;FEMININO;OCUPANTE;R DOM PEDRO II;QUEDA;1;0;1;0;0;0;0;0;0;0;0;SEXTA-FEIRA;TARDE;46 A 59;ONIBUS URBANO
06/01/2017 00:00;02:00:00.0000000;35;MASCULINO;CONDUTOR;R ERNESTO ARAUJO;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEXTA-FEIRA;MADRUGADA;26 A 35;MOTOCICLETA
06/01/2017 00:00;11:00:00.0000000;33;MASCULINO;PEDESTRE;R MARIO QUINTANA;ATROPELAMENTO;1;0;0;0;0;0;0;0;0;0;0;SEXTA-FEIRA;MANHA;26 A 35;NENHUM
07/01/2017 00:00;13:10:00.0000000;35;FEMININO;OCUPANTE;AV BALTAZAR DE OLIVEIRA GARCIA;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;SABADO;TARDE;26 A 35;AUTOMOVEL
07/01/2017 00:00;13:10:00.0000000;36;MASCULINO;CONDUTOR;AV BALTAZAR DE OLIVEIRA GARCIA;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;SABADO;TARDE;36 A 45;AUTOMOVEL
07/01/2017 00:00;23:00:00.0000000;21;FEMININO;OCUPANTE;AV BELEM VELHO;CAPOTAGEM;1;0;0;0;0;0;0;0;0;0;0;SABADO;NOITE;18 A 25;AUTOMOVEL
07/01/2017 00:00;08:40:00.0000000;35;FEMININO;OCUPANTE;AV BENTO GONCALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SABADO;MANHA;26 A 35;MOTOCICLETA
